cdparam,average,total_communes,percentage_zero_values,name,limite_france,limite_europe
1376,6.9044006579168204,29791,71.87112582588277,Antimoine,"5,0 µg/l","10 µg/l"
1369,21.08395134974785,13484,44.37769085741621,Arsenic total,"10 µg/l","10 µg/l"
1396,18.559477830990268,12946,9.60124193098626,Baryum,"1,0 mg/l","--"
1362,18.273261659834482,12929,24.203085648980974,Bore,"inf mg/l","1,5 mg/l"
1388,6.72411364169993,29813,72.71806690411341,Cadmium,"3,0 µg/l","5,0 µg/l"
1389,6.728135797913382,29809,65.58369357645381,Chrome,"50 µg/l","25 µg/l"
1392,6.546979701638542,20445,9.714388172099243,Cuivre,"1,0 mg/l","2,0 mg/l"
1390,18.41696393182719,12615,62.993156286316875,Cyanures,"70 µg/l","50 µg/l"
7073,20.03802056365116,13519,14.54849498327759,Fluorures,"5,0 mg/l","1,5 mg/l"
1382,7.040618311533888,21025,42.166737598713766,Plomb,"10 µg/l","5 µg/l"
1394,27.170098767026015,15491,46.617897227792405,Manganèse,"500 µg/l","--"
1387,18.594496283409775,12646,63.28876527774234,Mercure,"1,0 µg/l","1,0 µg/l"
1386,7.358029442894256,20786,48.65244795480699,Nickel,"20 µg/l","20 µg/l"
1340,64.34483987173904,25261,3.795461466763873,Nitrates,"50 mg/l","50 mg/l"
1339,39.38853421449424,31171,63.823323396699735,Nitrites,"0,1 mg/l","0,50 mg/l"
1385,19.084786483763466,12903,52.616639120247235,Sélénium,"10 µg/l","20 µg/l"
1457,12.18646009992208,21817,73.94799001023048,Acrylamide,"--","0,10 µg/l"
1114,18.20607911576498,13752,63.95694372328953,Benzène,"--","1,0 µg/l"
1115,6.896530960425518,29893,76.44767605428846,Benzo(a)pyrène,"--","0,010 µg/l"
2766,1.8557046979865772,596,78.20976491862568,Bisphénol A,"--","2,5 µg/l"
1751,18.684392156862746,12750,57.83079932501071,Bromates,"--","10 µg/l"
1752,5.115942028985507,897,16.583133580300718,Chlorates,"--","0,25 mg/l"
1735,12.517512953367875,4825,34.5861549414706,Chlorites,"--","0,25 mg/l"
1161,17.8795724623249,15063,64.03423436803803,1-2-dichloroéthane,"--","3,0 µg/l"
2058,35.904761904761905,714,43.70416601653924,Microcystine-LR,"--","1,0 µg/l"
6276,22.776230076230075,14430,31.377924365835923,Total pesticides,"--","0,50 µg/l"
8847,2.4073009485484334,3479,41.516417910447764,Somme PFAS,"--","0,10 µg/l"
2963,17.87270574304322,15201,61.71420368591336,Tétrachloroéthylène et trichloroéthylène,"--","10 µg/l"
2036,14.991005822124071,24905,10.764401327437184,Total trihalométhanes,"--","100 µg/l"
1361,11.636363636363637,44,7.6171875,Uranium,"--","30 µg/l"
1753,15.123973921562003,29603,64.16648984286878,Chlorure de vinyle,"--","0,50 µg/l"


